MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC,Within80
Ja1-D4_megahit_metabat_bin-726,bin-726:281/472_3,FoxZ,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-726,bin-726:289/472_15,DFE_0449,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-726,bin-726:430/472_4,DFE_0449,Outer_Surface_MHC,Not_found,DFE_0449&Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-389,bin-389:0058/1005_4,DFE_0462,Outer_Surface_MHC,Not_found,DFE_0462&Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-389,bin-389:0356/1005_1,DFE_0449,Outer_Surface_MHC,Not_found,DFE_0449&Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-389,bin-389:0356/1005_2,DFE_0449,Periplasmic_MHC_in_PCC,Not_found,DFE_0449&Periplasmic_MHC_in_PCC&,
Ja1-D4_megahit_metabat_bin-389,bin-389:0398/1005_2,DFE_0462,Outer_Surface_MHC,Not_found,DFE_0462&Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-389,bin-389:0861/1005_2,DFE_0461,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-389,bin-389:0389/1005_9,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-389,bin-389:0686/1005_3,Not_found,Outer_Surface_MHC,Not_found,DFE_0449&Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-082,bin-082:961/981_1,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-082,bin-082:352/981_4,ExtC_pcc_lp_cyt,Outer_Surface_MHC_in_PCC,Not_found,ExtC_pcc_lp_cyt&Outer_Surface_MHC_in_PCC&,
Ja1-D4_megahit_metabat_bin-082,bin-082:352/981_5,ExtB_porin,PCC_porin,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-082,bin-082:389/981_5,CbcB,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-082,bin-082:389/981_6,CbcA,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-082,bin-082:901/981_2,ImcH,Not_found,Not_found,ImcH&,
Ja1-D4_megahit_metabat_bin-082,bin-082:441/981_2,CbcL,Not_found,Not_found,CbcL&,
Ja1-D4_megahit_metabat_bin-082,bin-082:352/981_3,640549328_YP_001230600_{omc}_cytochrome_C_family_protein_[Geobacter_uraniumreducens_Rf4:_NC_009483],Outer_Surface_MHC_in_PCC,Not_found,640549328_YP_001230600_{omc}_cytochrome_C_family_protein_[Geobacter_uraniumreducens_Rf4:_NC_009483]&Outer_Surface_MHC_in_PCC&,
Ja1-D4_megahit_metabat_bin-082,bin-082:257/981_2,EetB,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-082,bin-082:257/981_3,EetA,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-082,bin-082:715/981_6,DFE_0448,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-082,bin-082:006/981_4,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-082,bin-082:194/981_3,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&Periplasmic_MHC_in_PCC&,
Ja1-D4_megahit_metabat_bin-082,bin-082:194/981_4,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-082,bin-082:471/981_1,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-082,bin-082:551/981_5,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-097,bin-097:0795/1171_2,MtoA,Not_found,Not_found,MtoA&,
Ja1-D4_megahit_metabat_bin-097,bin-097:0795/1171_3,MtrB_TIGR03509,Not_found,mtrB,Irrelevant
Ja1-D4_megahit_metabat_bin-097,bin-097:0348/1171_2,CbcB,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-097,bin-097:0586/1171_1,CbcL,Not_found,Not_found,CbcL&Periplasmic_MHC_in_PCC&,
Ja1-D4_megahit_metabat_bin-097,bin-097:0031/1171_1,MtrC_TIGR03507,Outer_Surface_MHC,mtrC,mtrC&MtrC_TIGR03507&Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-097,bin-097:0348/1171_3,DFE_0462,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-097,bin-097:0483/1171_1,DFE_0461,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-097,bin-097:0485/1171_2,DFE_0462,Outer_Surface_MHC,Not_found,DFE_0462&Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-097,bin-097:0501/1171_1,MtrC_TIGR03507,Outer_Surface_MHC,mtrC,mtrC&MtrC_TIGR03507&Outer_Surface_MHC&,
