MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC,Within80
A-1_megahit_metabat_bin-126,bin-126:109/515_8,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-340,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-063,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-588,bin-588:021/552_1,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-588,bin-588:312/552_5,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-014,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-456,bin-456:490/684_1,MtoA,Not_found,Not_found,MtoA&,
A-1_megahit_metabat_bin-456,bin-456:490/684_2,MtrB_TIGR03509,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-456,bin-456:660/684_1,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-505,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-436,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-264,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-099,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-003,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-559,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-153,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-492,bin-492:602/618_2,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-422,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-385,bin-385:171/484_1,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-385,bin-385:171/484_2,Cyc1,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-343,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-473,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-079,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-081,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-269,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-466,bin-466:610/634_4,CymA,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-466,bin-466:610/634_5,MtrB_TIGR03509,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-466,bin-466:610/634_6,MtoA,Not_found,Not_found,MtoA&,
A-1_megahit_metabat_bin-466,bin-466:435/634_1,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-364,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-052,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-522,bin-522:080/256_1,MtrB_TIGR03509,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-128,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-080,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-541,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-116,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-459,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-534,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-407,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-293,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-367,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-162,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-304,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-101,bin-101:069/522_2,Cyc1,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-101,bin-101:069/522_3,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-556,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-019,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-241,bin-241:130/295_7,MtoA,Not_found,Not_found,MtoA&,
A-1_megahit_metabat_bin-241,bin-241:130/295_8,MtrB_TIGR03509,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-224,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-042,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-329,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-400,bin-400:086/116_82,Cyc1,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-400,bin-400:086/116_83,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-400,bin-400:022/116_58,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-477,Not_found,Not_found,Not_found,Not_found,Irrelevant
