K_DeepCast_100m_m2_118,K_DeepCast_100m_m2_118_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002160_3,BB-OMP
M_DeepCast_400m_m2_062,M_DeepCast_400m_m2_062_TA2MahC400mmetaG_2.146191.fna_Ga0194112_10003224_16,BB-OMP
K_DeepCast_100m_m2_328,K_DeepCast_100m_m2_328_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10000568_11,BB-OMP
K_DeepCast_250m_m1_333,K_DeepCast_250m_m1_333_TA2KigC250mmetaG_2.148626.fna_Ga0194125_10022848_1,BB-OMP
K_DeepCast_250m_m1_333,K_DeepCast_250m_m1_333_TA2KigC250mmetaG_2.148626.fna_Ga0194125_10185184_2,BB-OMP
K_DeepCast_150m_m1_344,K_DeepCast_150m_m1_344_TA2KigC150mmetaG_2.148641.assembled.fna_Ga0194126_10006449_12,BB-OMP
M_DeepCast_65m_m2_204,M_DeepCast_65m_m2_204_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10135247_1,BB-OMP
K_DeepCast_100m_mx_210,K_DeepCast_100m_mx_210_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10091808_1,BB-OMP
K_DeepCast_100m_mx_210,K_DeepCast_100m_mx_210_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10107834_2,BB-OMP
K_DeepCast_100m_m2_176,K_DeepCast_100m_m2_176_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003284_17,BB-OMP
K_DeepCast_100m_m2_316,K_DeepCast_100m_m2_316_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10000337_44,BB-OMP
K_DeepCast_100m_m2_268,K_DeepCast_100m_m2_268_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002250_1,BB-OMP
K_DeepCast_100m_m1_326,K_DeepCast_100m_m1_326_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003033_7,BB-OMP
M_DeepCast_65m_m2_091,M_DeepCast_65m_m2_091_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10105051_2,BB-OMP
M_DeepCast_65m_m1_284,M_DeepCast_65m_m1_284_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10000516_25,BB-OMP
K_DeepCast_35m_m2_046,K_DeepCast_35m_m2_046_TA2KigCa35mmetaG_2.150862.fna_Ga0194129_10016312_1,BB-OMP
K_DeepCast_100m_mx_218,K_DeepCast_100m_mx_218_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10024023_4,BB-OMP
K_DeepCast_35m_m2_009,K_DeepCast_35m_m2_009_TA2KigCa35mmetaG_2.150862.fna_Ga0194129_10000513_19,BB-OMP
M_DeepCast_400m_m1_331,M_DeepCast_400m_m1_331_TA2MahC400mmetaG_2.146191.fna_Ga0194112_10086162_3,BB-OMP
M_DeepCast_200m_m2_052,M_DeepCast_200m_m2_052_Ga0194113_10001411_11,BB-OMP
K_DeepCast_250m_m1_364,K_DeepCast_250m_m1_364_TA2KigC250mmetaG_2.148626.fna_Ga0194125_10009137_4,BB-OMP
M_DeepCast_65m_m1_011,M_DeepCast_65m_m1_011_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10001686_13,BB-OMP
M_DeepCast_65m_m1_282,M_DeepCast_65m_m1_282_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10000347_9,BB-OMP
M_DeepCast_65m_m2_014,M_DeepCast_65m_m2_014_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10002314_14,BB-OMP
K_DeepCast_150m_m2_105,K_DeepCast_150m_m2_105_TA2KigC150mmetaG_2.148641.assembled.fna_Ga0194126_10120394_1,BB-OMP
M_DeepCast_100m_m2_243,M_DeepCast_100m_m2_243_Ga0194119_10016414_2,BB-OMP
