MAG,orf,FeGenie_HMM,Shaomei_Type
Ki3-D2_megahit_metabat_bin-1766,bin-1766:049/215_34,Not found,Periplasmic MHC in PCC
Ki3-D2_megahit_metabat_bin-1766,bin-1766:049/215_36,Not found,Periplasmic MHC in PCC
Ki3-D2_megahit_metabat_bin-1766,bin-1766:049/215_39,Not found,Periplasmic MHC in PCC
Ki3-D2_megahit_metabat_bin-1766,bin-1766:049/215_30,Not found,Outer Surface MHC
Ki3-D2_megahit_metabat_bin-1766,bin-1766:049/215_31,Not found,Outer Surface MHC
Ki3-D2_megahit_metabat_bin-1766,bin-1766:075/215_8,Not found,Outer Surface MHC
Ki3-D2_megahit_metabat_bin-1766,bin-1766:110/215_14,Not found,Outer Surface MHC
Ki3-D2_megahit_metabat_bin-1766,bin-1766:183/215_5,Not found,Outer Surface MHC
Ki3-D2_megahit_metabat_bin-1623,bin-1623:009/116_49,DFE_0461,Not found
Ki3-D2_megahit_metabat_bin-1623,bin-1623:013/116_8,DFE_0462,Outer Surface MHC
Ki3-D2_megahit_metabat_bin-1623,bin-1623:024/116_21,DFE_0448,Not found
Ki3-D2_megahit_metabat_bin-1623,bin-1623:082/116_3,DFE_0461,Outer Surface MHC
Ki3-D2_megahit_metabat_bin-1623,bin-1623:082/116_5,DFE_0461,Periplasmic MHC in PCC
Ki3-D2_megahit_metabat_bin-2384,bin-2384:574/661_6,Cyc2_repCluster3,Not found
Ki3-D2_megahit_metabat_bin-2384,bin-2384:404/661_3,Cyc2_repCluster3,Not found
Ki3-D2_megahit_metabat_bin-2271,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-1065,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-2124,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-1135,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-0733,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-0726,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-1070,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-0371,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-0389,bin-0389:228/484_3,Cyc2_repCluster2,Not found
Ki3-D2_megahit_metabat_bin-0343,bin-0343:205/818_2,MtoA,Not found
Ki3-D2_megahit_metabat_bin-1786,bin-1786:013/810_11,Not found,Outer Surface MHC
Ki3-D2_megahit_metabat_bin-2128,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-1755,bin-1755:384/654_4,MtoA,Not found
Ki3-D2_megahit_metabat_bin-1755,bin-1755:384/654_5,MtrB_TIGR03509,Not found
Ki3-D2_megahit_metabat_bin-2234,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-0904,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-1414,Not found,Not found,Not found
