
M_DeepCast_400m_m2_062,M_DeepCast_400m_m2_062_TA2MahC400mmetaG_2.146191.fna_Ga0194112_10003224_13,M_DeepCast_400m_m2_062_TA2MahC400mmetaG_2.146191.fna_Ga0194112_10003224_16
M_DeepCast_400m_m2_062,M_DeepCast_400m_m2_062_TA2MahC400mmetaG_2.146191.fna_Ga0194112_10003224_14,M_DeepCast_400m_m2_062_TA2MahC400mmetaG_2.146191.fna_Ga0194112_10003224_16
M_DeepCast_400m_m2_062,M_DeepCast_400m_m2_062_TA2MahC400mmetaG_2.146191.fna_Ga0194112_10003224_15,M_DeepCast_400m_m2_062_TA2MahC400mmetaG_2.146191.fna_Ga0194112_10003224_16
K_DeepCast_150m_m1_344,K_DeepCast_150m_m1_344_TA2KigC150mmetaG_2.148641.assembled.fna_Ga0194126_10006449_6,K_DeepCast_150m_m1_344_TA2KigC150mmetaG_2.148641.assembled.fna_Ga0194126_10006449_12
K_DeepCast_150m_m1_344,K_DeepCast_150m_m1_344_TA2KigC150mmetaG_2.148641.assembled.fna_Ga0194126_10006449_10,K_DeepCast_150m_m1_344_TA2KigC150mmetaG_2.148641.assembled.fna_Ga0194126_10006449_12
K_DeepCast_150m_m1_344,K_DeepCast_150m_m1_344_TA2KigC150mmetaG_2.148641.assembled.fna_Ga0194126_10006449_11,K_DeepCast_150m_m1_344_TA2KigC150mmetaG_2.148641.assembled.fna_Ga0194126_10006449_12
K_DeepCast_100m_m2_328,K_DeepCast_100m_m2_328_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10000568_12,K_DeepCast_100m_m2_328_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10000568_11
K_DeepCast_35m_m2_009,K_DeepCast_35m_m2_009_TA2KigCa35mmetaG_2.150862.fna_Ga0194129_10000513_20,K_DeepCast_35m_m2_009_TA2KigCa35mmetaG_2.150862.fna_Ga0194129_10000513_19
M_DeepCast_65m_m1_282,M_DeepCast_65m_m1_282_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10000347_10,M_DeepCast_65m_m1_282_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10000347_9
M_DeepCast_65m_m1_282,M_DeepCast_65m_m1_282_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10000347_11,M_DeepCast_65m_m1_282_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10000347_9
M_DeepCast_65m_m1_282,M_DeepCast_65m_m1_282_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10000347_13,M_DeepCast_65m_m1_282_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10000347_9
